repository,path,name,url,html_url,git_url,score
Gal-Klein/android_auto_demo,obj/Debug/50/android/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/182636998/contents/obj/Debug/50/android/AndroidManifest.xml?ref=efcd1e566da44267d3742fca346d64999052d05d,https://github.com/Gal-Klein/android_auto_demo/blob/efcd1e566da44267d3742fca346d64999052d05d/obj/Debug/50/android/AndroidManifest.xml,https://api.github.com/repositories/182636998/git/blobs/6f86697f2b82ed59fa2ea5136302cd7db6f6e03e,1.0
takeoutfm/takeout_app,takeout_mobile/android/app/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/655908561/contents/takeout_mobile/android/app/src/main/AndroidManifest.xml?ref=ae78a20ee2c1991055819e909f7506c92fab8f9d,https://github.com/takeoutfm/takeout_app/blob/ae78a20ee2c1991055819e909f7506c92fab8f9d/takeout_mobile/android/app/src/main/AndroidManifest.xml,https://api.github.com/repositories/655908561/git/blobs/6eba1ccc0dae3b72dc0cbaf9490a8bc5b2927ae4,1.0
Bnei-Baruch/com.kab.channel66,comkabchannel66/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/40988480/contents/comkabchannel66/src/main/AndroidManifest.xml?ref=c1f108c06840d7ac823ffd3a9868a5339007a6eb,https://github.com/Bnei-Baruch/com.kab.channel66/blob/c1f108c06840d7ac823ffd3a9868a5339007a6eb/comkabchannel66/src/main/AndroidManifest.xml,https://api.github.com/repositories/40988480/git/blobs/74825e7ecdb14cb895d716f7b9018cc4baac5039,1.0
cybernhl/Turbogram,resources/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/152533821/contents/resources/AndroidManifest.xml?ref=21b8862573953add9260f1eb586f0985d2c71e8e,https://github.com/cybernhl/Turbogram/blob/21b8862573953add9260f1eb586f0985d2c71e8e/resources/AndroidManifest.xml,https://api.github.com/repositories/152533821/git/blobs/914c8a2392f02bbc9488651eb983989959c68a86,1.0
zhifeijifortg/Zhifeiji-Android,TMessagesProj/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/446657892/contents/TMessagesProj/src/main/AndroidManifest.xml?ref=18ae1d7e8955bb3a4312886441aa381ac570e6e2,https://github.com/zhifeijifortg/Zhifeiji-Android/blob/18ae1d7e8955bb3a4312886441aa381ac570e6e2/TMessagesProj/src/main/AndroidManifest.xml,https://api.github.com/repositories/446657892/git/blobs/72aece8e490cc50d6e889b56615cf4180a140527,1.0
chr56/Phonograph_Plus,app/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/408710882/contents/app/src/main/AndroidManifest.xml?ref=6252c39ce1290c19518a14f2e5ce1b00fed02840,https://github.com/chr56/Phonograph_Plus/blob/6252c39ce1290c19518a14f2e5ce1b00fed02840/app/src/main/AndroidManifest.xml,https://api.github.com/repositories/408710882/git/blobs/814196ace0ab4cbd692de761417d8fbdb07d3db4,1.0
Fergan70/TP-sonarcloud,app/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/791338339/contents/app/src/main/AndroidManifest.xml?ref=0ebaa073ee861caaaf0ab4bc6603794ef23efeb3,https://github.com/Fergan70/TP-sonarcloud/blob/0ebaa073ee861caaaf0ab4bc6603794ef23efeb3/app/src/main/AndroidManifest.xml,https://api.github.com/repositories/791338339/git/blobs/6df396b6be98fca1e4a04a9c519f07ecd7061cf6,1.0
Runnlin/vlc-android,application/vlc-android/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/435852547/contents/application/vlc-android/AndroidManifest.xml?ref=663653e02dae864d2926e32bcaaf780121ba14ad,https://github.com/Runnlin/vlc-android/blob/663653e02dae864d2926e32bcaaf780121ba14ad/application/vlc-android/AndroidManifest.xml,https://api.github.com/repositories/435852547/git/blobs/88e734d2437a79e8e374a7efd057ad9a7dd7a88e,1.0
Elijah762/brakey-heart,AchyBrakeyHeartV3/shared/build/intermediates/merged_manifest/debug/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/565493618/contents/AchyBrakeyHeartV3/shared/build/intermediates/merged_manifest/debug/AndroidManifest.xml?ref=da064b4343f5f89192f95fad2e0aeed70a9febe8,https://github.com/Elijah762/brakey-heart/blob/da064b4343f5f89192f95fad2e0aeed70a9febe8/AchyBrakeyHeartV3/shared/build/intermediates/merged_manifest/debug/AndroidManifest.xml,https://api.github.com/repositories/565493618/git/blobs/832913d3c4bd9c1068535294537313c5c29f058c,1.0
gdkjrygh/CompSecurity,Spotify_source/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/47672078/contents/Spotify_source/AndroidManifest.xml?ref=25993288e41d565b45a395658d37a791c0f38852,https://github.com/gdkjrygh/CompSecurity/blob/25993288e41d565b45a395658d37a791c0f38852/Spotify_source/AndroidManifest.xml,https://api.github.com/repositories/47672078/git/blobs/87962c30b1d124327e83f992b62fef8f96fd9303,1.0
Ruchan10/Musify_fork,android/app/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/877719904/contents/android/app/src/main/AndroidManifest.xml?ref=e5203ead6ca8df5cca66ea05e9194b2719ab4fea,https://github.com/Ruchan10/Musify_fork/blob/e5203ead6ca8df5cca66ea05e9194b2719ab4fea/android/app/src/main/AndroidManifest.xml,https://api.github.com/repositories/877719904/git/blobs/615c5f8ca4e200045093b1ef71ebf6565a22c17f,1.0
xdtianyu/android-8.0.0_r4,frameworks/support/samples/Support4Demos/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/101650981/contents/frameworks/support/samples/Support4Demos/AndroidManifest.xml?ref=7b2a348b53815c068a960fe7243b9dc9ba144fa6,https://github.com/xdtianyu/android-8.0.0_r4/blob/7b2a348b53815c068a960fe7243b9dc9ba144fa6/frameworks/support/samples/Support4Demos/AndroidManifest.xml,https://api.github.com/repositories/101650981/git/blobs/893259c4a5b7c781c75d422eb517bdbd0c866c3a,1.0
Nekogram/Nekogram,TMessagesProj/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/689552706/contents/TMessagesProj/src/main/AndroidManifest.xml?ref=99fb1e762ddfa3b3dbdcef9c52c0d9d20b56a069,https://github.com/Nekogram/Nekogram/blob/99fb1e762ddfa3b3dbdcef9c52c0d9d20b56a069/TMessagesProj/src/main/AndroidManifest.xml,https://api.github.com/repositories/689552706/git/blobs/7cc534d9796ccbac6c86f29edb209eeed15bd40a,1.0
EKonyvtar/EKonyvtarAudio,mobile/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/74568253/contents/mobile/src/main/AndroidManifest.xml?ref=1de511ca9b12b6489a4b2e9b119345ed9c2d74d2,https://github.com/EKonyvtar/EKonyvtarAudio/blob/1de511ca9b12b6489a4b2e9b119345ed9c2d74d2/mobile/src/main/AndroidManifest.xml,https://api.github.com/repositories/74568253/git/blobs/7494ead1278092fff026cb40bb60cbf9a8a4eb86,1.0
xymeng16/Telegram-HMS,TMessagesProj/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/364917429/contents/TMessagesProj/src/main/AndroidManifest.xml?ref=9fd7e266809ba4931ca0b56c97692e41a06511ee,https://github.com/xymeng16/Telegram-HMS/blob/9fd7e266809ba4931ca0b56c97692e41a06511ee/TMessagesProj/src/main/AndroidManifest.xml,https://api.github.com/repositories/364917429/git/blobs/737d1327b31fb665b4abcd5f875ffbed565ac82a,1.0
xinguan14/RunTogether,jdyp/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/63148386/contents/jdyp/src/main/AndroidManifest.xml?ref=62afb4311157d9f57830232ff43c84ec443ee59d,https://github.com/xinguan14/RunTogether/blob/62afb4311157d9f57830232ff43c84ec443ee59d/jdyp/src/main/AndroidManifest.xml,https://api.github.com/repositories/63148386/git/blobs/8ec0c11fe73dfdbb86ec6594804db9e87decd755,1.0
hellcat707hp/GTRadio,app/automotive/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/379812165/contents/app/automotive/src/main/AndroidManifest.xml?ref=21d75c6adeffde1c3b61881c69a850c753a01bf9,https://github.com/hellcat707hp/GTRadio/blob/21d75c6adeffde1c3b61881c69a850c753a01bf9/app/automotive/src/main/AndroidManifest.xml,https://api.github.com/repositories/379812165/git/blobs/6dba2836a58dd9e337deae7fe6a486dcc9ea8b9d,1.0
KahfHQ/Kahf-Android,app/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/605954955/contents/app/src/main/AndroidManifest.xml?ref=0f155584947e6aa066c6c80a07beef632db6a292,https://github.com/KahfHQ/Kahf-Android/blob/0f155584947e6aa066c6c80a07beef632db6a292/app/src/main/AndroidManifest.xml,https://api.github.com/repositories/605954955/git/blobs/6498523ef8770aa547cd0546b998e0ee1522858e,1.0
skylinemusiccds/Audioflare-preview,app/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/820903328/contents/app/src/main/AndroidManifest.xml?ref=7f970402b6a267b7dcab7596f96ffc25f8bfdde9,https://github.com/skylinemusiccds/Audioflare-preview/blob/7f970402b6a267b7dcab7596f96ffc25f8bfdde9/app/src/main/AndroidManifest.xml,https://api.github.com/repositories/820903328/git/blobs/911e7315a39338e4adb5351a9050f12819eba8e4,1.0
